slug,genre,title,content_status,portfolio_block,intent_type,seo_tier,seo_score,auto_decision,merge_target,primary_keyword_hint,rationale,in_keep_core,field_id,field_match,is_custom_slug,expert_pass,slug_cluster,manual_decision,notes
first-time-exam-guide,試験概要,マンション管理士試験の初受験者向け·最初の2週間【Day0〜14】,published,A制度,do,C,9,merge,study-plan,マンション管理士試験の初受験者向け·最初の2週間【Day0〜14】,汎用ガイド→学習計画へ,no,,n/a,no,yes,other,,
reschedule-and-absence,受験・申込,"マンション管理士試験の欠席·再受験の手続き【9,400円·要項確認】",published,A制度,do,A,9,merge,exam-schedule,"マンション管理士試験の欠席·再受験の手続き【9,400円·要項確認】",クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
work-experience-requirement,受験・申込,マンション管理士試験の実務経験と受験資格【令和8年度·在籍年表】,published,A制度,do,A,9,merge,exam-eligibility,マンション管理士試験の実務経験と受験資格【令和8年度·在籍年表】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
exam-format-overview,出題・形式,マンション管理士試験の形式【四肢択一·50問120分·7分野】,published,B形式,do,C,60,keep,,マンション管理士試験の形式【四肢択一·50問120分·7分野】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
exam-scope-overview,出題・形式,マンション管理士試験の出題範囲【7分野·要項正本】,published,B形式,do,C,60,keep,,マンション管理士試験の出題範囲【7分野·要項正本】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
subject-breakdown,出題・形式,マンション管理士試験の科目構成と配点【7分野·目次1枚】,published,B形式,do,C,60,keep,,マンション管理士試験の科目構成と配点【7分野·目次1枚】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
syllabus-how-to-read,出題・形式,マンション管理士試験の試験要項·シラバスの読み方【5章30分】,published,B形式,do,C,60,keep,,マンション管理士試験の試験要項·シラバスの読み方【5章30分】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
time-limit-strategy,出題・形式,マンション管理士試験の時間配分の戦略【1問2.4分·14:50見直し】,published,B形式,do,C,60,keep,,マンション管理士試験の時間配分の戦略【1問2.4分·14:50見直し】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
new-topics-trend,出題・形式,マンション管理士試験の近年の出題トレンド,published,B形式,do,C,7,merge,syllabus-how-to-read,マンション管理士試験の近年の出題トレンド,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
scope-revision-history,出題・形式,マンション管理士試験の出題範囲の改定履歴,published,B形式,do,C,7,merge,syllabus-how-to-read,マンション管理士試験の出題範囲の改定履歴,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
scope-vs-past-questions,出題・形式,マンション管理士試験の出題範囲と過去問の対応,published,B形式,do,C,7,merge,syllabus-how-to-read,マンション管理士試験の出題範囲と過去問の対応,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
weight-by-topic,出題・形式,マンション管理士試験の分野別配点と優先順位【48％→70％】,published,B形式,do,C,7,merge,subject-breakdown,マンション管理士試験の分野別配点と優先順位【48％→70％】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
cbt-computer-exam,出題・形式,マンション管理士試験のCBT·マークシート対策【要項で形式確認】,published,B形式,do,C,5,retire,,マンション管理士試験のCBT·マークシート対策【要項で形式確認】,試験形式に該当しない slug（CBT/論述等）,no,,n/a,no,yes,other,,
pass-rate,合格・難易度,マンション管理士試験の合格率の読み方【48％ライン】,published,C難易度,do,A,76,keep,,マンション管理士試験の合格率の読み方【48％ライン】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
pass-score,合格・難易度,マンション管理士試験の合格点と得点の見方【48％ライン】,published,C難易度,do,A,76,keep,,マンション管理士試験の合格点と得点の見方【48％ライン】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
exam-difficulty,合格・難易度,マンション管理士試験の難易度（演習得点で見る）【48％難所】,published,C難易度,do,A,46,keep,,マンション管理士試験の難易度（演習得点で見る）【48％難所】,スコアリングで残否を判定（スコア上位で keep 候補）,no,,n/a,no,yes,other,,
difficulty-for-beginners,合格・難易度,マンション管理士試験の初学者向け難易度の見方【区10問基準】,published,C難易度,do,A,8,merge,exam-overview,マンション管理士試験の初学者向け難易度の見方【区10問基準】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
pass-rate-how-to-read,合格・難易度,マンション管理士試験の合格率·統計の読み方【11/29逆算】,published,C難易度,do,A,8,merge,exam-overview,マンション管理士試験の合格率·統計の読み方【11/29逆算】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
study-plan,学習計画,マンション管理士試験の学習計画の立て方【24週逆算】,published,D学習,do,B,68,keep,,マンション管理士試験の学習計画の立て方【24週逆算】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
textbook-selection,独学対策,マンション管理士試験のテキストの選び方【公式1冊】,published,D学習,do,B,68,keep,,マンション管理士試験のテキストの選び方【公式1冊】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
almost-correct-review,復習・苦手克服,マンション管理士試験の惜しい問題の見直し【2択残り】,published,D学習,do,C,8,merge,past-question-strategy,マンション管理士試験の惜しい問題の見直し【2択残り】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
balance-work-study,学習計画,マンション管理士試験の仕事と勉強の両立【週8時間型】,published,D学習,do,B,8,merge,study-plan,マンション管理士試験の仕事と勉強の両立【週8時間型】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
correspondence-course-guide,独学対策,マンション管理士試験の通信講座の選び方【9月通し後に判断】,published,D学習,do,B,8,merge,exam-overview,マンション管理士試験の通信講座の選び方【9月通し後に判断】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
first-30-days-plan,学習計画,マンション管理士試験の最初の30日の学習計画【Day1〜30】,published,D学習,do,B,8,merge,study-plan,マンション管理士試験の最初の30日の学習計画【Day1〜30】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
free-materials-online,独学対策,マンション管理士試験の無料教材の活用【要項正本·SNS未検証】,published,D学習,do,B,8,merge,exam-overview,マンション管理士試験の無料教材の活用【要項正本·SNS未検証】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
material-update-cycle,独学対策,マンション管理士試験の教材の版·年度更新,published,D学習,do,B,8,merge,syllabus-how-to-read,マンション管理士試験の教材の版·年度更新,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
mistake-notebook,復習・苦手克服,マンション管理士試験の間違いノートの作り方【3·7·14日】,published,D学習,do,C,8,merge,study-plan,マンション管理士試験の間違いノートの作り方【3·7·14日】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
note-taking-method,復習・苦手克服,マンション管理士試験のノートの取り方【1冊統合】,published,D学習,do,C,8,merge,study-plan,マンション管理士試験のノートの取り方【1冊統合】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
plateau-breakthrough,復習・苦手克服,マンション管理士試験の伸び悩みの突破【2回48％】,published,D学習,do,C,8,merge,study-plan,マンション管理士試験の伸び悩みの突破【2回48％】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
problem-book-selection,独学対策,マンション管理士試験の問題集の選び方【演習1冊】,published,D学習,do,B,8,merge,textbook-selection,マンション管理士試験の問題集の選び方【演習1冊】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
review-cycle-spaced,復習・苦手克服,マンション管理士試験の間隔を空けた復習【3·7·14日】,published,D学習,do,C,8,merge,retake-strategy,マンション管理士試験の間隔を空けた復習【3·7·14日】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
self-study-environment,独学対策,マンション管理士試験の独学環境の整え方【火21:00·90分】,published,D学習,do,B,8,merge,study-plan,マンション管理士試験の独学環境の整え方【火21:00·90分】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
self-study-mistakes,独学対策,マンション管理士試験の独学のよくある失敗【要項先】,published,D学習,do,B,8,merge,study-plan,マンション管理士試験の独学のよくある失敗【要項先】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
self-study-motivation,独学対策,マンション管理士試験の独学モチベーション維持【7行正答率表】,published,D学習,do,B,8,merge,study-plan,マンション管理士試験の独学モチベーション維持【7行正答率表】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
self-study-schedule,独学対策,マンション管理士試験の独学スケジュール【週10時間·ローテ】,published,D学習,do,A,8,merge,study-plan,マンション管理士試験の独学スケジュール【週10時間·ローテ】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
self-study-start,独学対策,マンション管理士試験の独学の始め方【Day0〜14】,published,D学習,do,B,8,merge,study-plan,マンション管理士試験の独学の始め方【Day0〜14】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
self-study-without-school,独学対策,マンション管理士試験の資格学校なし独学【教材1+1·週8時間】,published,D学習,do,B,8,merge,study-plan,マンション管理士試験の資格学校なし独学【教材1+1·週8時間】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
study-plan-1year,学習計画,マンション管理士試験の1年学習計画【週8時間·12か月2周】,published,D学習,do,B,8,merge,study-plan,マンション管理士試験の1年学習計画【週8時間·12か月2周】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
study-plan-3months,学習計画,マンション管理士試験の3ヶ月学習計画【残り12週·再受験】,published,D学習,do,B,8,merge,study-plan,マンション管理士試験の3ヶ月学習計画【残り12週·再受験】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
study-plan-6months,学習計画,マンション管理士試験の6ヶ月学習計画【週12時間·7分野】,published,D学習,do,B,8,merge,study-plan,マンション管理士試験の6ヶ月学習計画【週12時間·7分野】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
study-plan-beginner,学習計画,マンション管理士試験の初学者向け学習計画【10か月·週10時間】,published,D学習,do,B,8,merge,study-plan,マンション管理士試験の初学者向け学習計画【10か月·週10時間】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
study-plan-working,学習計画,マンション管理士試験の社会人向け学習計画【週9時間·8か月】,published,D学習,do,B,8,merge,study-plan,マンション管理士試験の社会人向け学習計画【週9時間·8か月】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
textbook-vs-past-questions,独学対策,マンション管理士試験のテキストと過去問の優先順位【テキスト先】,published,D学習,do,B,8,merge,textbook-selection,マンション管理士試験のテキストと過去問の優先順位【テキスト先】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
time-management,学習計画,マンション管理士試験の時間管理と習慣化【週次レビュー15分】,published,D学習,do,B,8,merge,study-plan,マンション管理士試験の時間管理と習慣化【週次レビュー15分】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
past-question-strategy,過去問活用,マンション管理士試験の過去問の使い方【分野別→年度別】,published,E過去問,do,B,66,keep,,マンション管理士試験の過去問の使い方【分野別→年度別】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
past-questions-by-field,過去問活用,マンション管理士試験の分野別過去問の解き方【7分野】,published,E過去問,do,B,66,keep,,マンション管理士試験の分野別過去問の解き方【7分野】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
bookmark-review-method,過去問活用,マンション管理士試験のブックマークを使った復習【20件上限】,published,E過去問,do,B,7,merge,past-question-strategy,マンション管理士試験のブックマークを使った復習【20件上限】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
drill-volume-guide,過去問活用,マンション管理士試験の演習問題量の目安【正答率表·800問NG】,published,E過去問,do,B,7,merge,past-question-strategy,マンション管理士試験の演習問題量の目安【正答率表·800問NG】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
ichimon-practice,過去問活用,マンション管理士試験の一問一答の活用法【翌週20問】,published,E過去問,do,B,7,merge,past-question-strategy,マンション管理士試験の一問一答の活用法【翌週20問】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
mock-exam-how-to,過去問活用,マンション管理士試験の模試の活用法（本番形式）,published,E過去問,do,B,7,merge,past-question-strategy,マンション管理士試験の模試の活用法（本番形式）,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
past-questions-by-year,過去問活用,マンション管理士試験の年度別過去問の解き方【7分野1周後】,published,E過去問,do,B,7,merge,past-question-strategy,マンション管理士試験の年度別過去問の解き方【7分野1周後】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
past-questions-first-attempt,過去問活用,マンション管理士試験の過去問の初回の解き方【10問·記録】,published,E過去問,do,B,7,merge,past-question-strategy,マンション管理士試験の過去問の初回の解き方【10問·記録】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
past-questions-latest-year,過去問活用,マンション管理士試験の最新年度過去問の活用法【10月10問】,published,E過去問,do,B,7,merge,past-question-strategy,マンション管理士試験の最新年度過去問の活用法【10月10問】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
past-questions-review-cycle,過去問活用,マンション管理士試験の過去問解き直しサイクル【3·7·14日】,published,E過去問,do,B,7,merge,past-question-strategy,マンション管理士試験の過去問解き直しサイクル【3·7·14日】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
past-questions-score-analysis,過去問活用,マンション管理士試験の過去問の点数分析【7分野1表】,published,E過去問,do,B,7,merge,past-question-strategy,マンション管理士試験の過去問の点数分析【7分野1表】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
past-questions-wrong-reasons,過去問活用,マンション管理士試験の過去問の誤答原因の分析【4分類】,published,E過去問,do,B,7,merge,past-question-strategy,マンション管理士試験の過去問の誤答原因の分析【4分類】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
simulation-exam-schedule,過去問活用,マンション管理士試験の模試日程と学習計画（月1回×3回）,published,E過去問,do,A,7,merge,past-question-strategy,マンション管理士試験の模試日程と学習計画（月1回×3回）,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
timed-practice,過去問活用,マンション管理士試験の時間を計った演習【50問120分】,published,E過去問,do,B,7,merge,past-question-strategy,マンション管理士試験の時間を計った演習【50問120分】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
exam-day-flow,直前・当日,マンション管理士試験当日の流れ（13:00〜15:00）,published,F直前,do,A,76,keep,,マンション管理士試験当日の流れ（13:00〜15:00）,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
exam-day-items,直前・当日,マンション管理士試験当日の持ち物·禁止物（受験票が正本）,published,F直前,do,A,76,keep,,マンション管理士試験当日の持ち物·禁止物（受験票が正本）,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
final-day-checklist,直前・当日,マンション管理士試験前日チェックリスト【D-1】,published,F直前,do,A,76,keep,,マンション管理士試験前日チェックリスト【D-1】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
exam-day-time-allocation,直前・当日,マンション管理士試験当日の時間配分（2時間·マーク運用）,published,F直前,do,A,8,merge,final-day-checklist,マンション管理士試験当日の時間配分（2時間·マーク運用）,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
exam-day-troubleshooting,直前・当日,マンション管理士試験当日のトラブル対応【初動表】,published,F直前,do,A,8,merge,final-day-checklist,マンション管理士試験当日のトラブル対応【初動表】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
final-mock-last-run,直前・当日,マンション管理士試験の直前模試の受け方【D-14】,published,F直前,do,A,8,merge,final-day-checklist,マンション管理士試験の直前模試の受け方【D-14】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
final-scope-narrowing,直前・当日,マンション管理士試験の直前の範囲絞り込み【残り14日】,published,F直前,do,A,8,merge,final-day-checklist,マンション管理士試験の直前の範囲絞り込み【残り14日】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
final-sleep-and-health,直前・当日,マンション管理士試験の直前の睡眠と健康管理【7時間】,published,F直前,do,A,8,merge,final-day-checklist,マンション管理士試験の直前の睡眠と健康管理【7時間】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
final-week-prep,直前・当日,マンション管理士試験の直前1週間の対策【D-7】,published,F直前,do,A,8,merge,final-day-checklist,マンション管理士試験の直前1週間の対策【D-7】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
mental-prep-exam-day,直前・当日,マンション管理士試験当日のメンタル対策【呼吸4-6】,published,F直前,do,A,8,merge,final-day-checklist,マンション管理士試験当日のメンタル対策【呼吸4-6】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
after-pass-procedure,注意点・更新,マンション管理士試験の合格後の手続き【要項正本】,published,G合格後,do,C,56,keep,,マンション管理士試験の合格後の手続き【要項正本】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,after-pass,,
retake-strategy,注意点・更新,マンション管理士試験の再受験の戦略【弱点70％】,published,G合格後,do,C,56,keep,,マンション管理士試験の再受験の戦略【弱点70％】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
career-after-qualification,注意点・更新,マンション管理士試験の合格後のキャリア【2/10完了】,published,G合格後,do,C,6,merge,exam-overview,マンション管理士試験の合格後のキャリア【2/10完了】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
common-misconceptions,注意点・更新,マンション管理士試験のよくある誤解【5項目·要項正本】,published,G合格後,do,C,6,merge,exam-overview,マンション管理士試験のよくある誤解【5項目·要項正本】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
difficulty-myths,注意点・更新,マンション管理士試験の難易度の誤解【SNS·3分野神話】,published,G合格後,do,C,6,merge,exam-overview,マンション管理士試験の難易度の誤解【SNS·3分野神話】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
eligibility-myths,注意点・更新,マンション管理士試験の受験資格の誤解【選任≠試験·要項正本】,published,G合格後,do,A,6,merge,exam-overview,マンション管理士試験の受験資格の誤解【選任≠試験·要項正本】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
exam-changes,注意点・更新,マンション管理士試験の制度変更点【6/14五章·9/1差分15分】,published,G合格後,do,C,6,merge,syllabus-how-to-read,マンション管理士試験の制度変更点【6/14五章·9/1差分15分】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
fail-retry-plan,注意点・更新,マンション管理士試験の不合格からの再受験計画【12/1振返】,published,G合格後,do,C,6,merge,retake-strategy,マンション管理士試験の不合格からの再受験計画【12/1振返】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
legal-revision-impact,注意点・更新,マンション管理士試験の法改正の試験への影響,published,G合格後,do,C,6,merge,syllabus-how-to-read,マンション管理士試験の法改正の試験への影響,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
official-info-update-habits,注意点・更新,マンション管理士試験の公式情報の更新確認習慣【月1·11/28点検】,published,G合格後,do,C,6,merge,syllabus-how-to-read,マンション管理士試験の公式情報の更新確認習慣【月1·11/28点検】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
pass-only-past-questions-myth,注意点・更新,マンション管理士試験の過去問だけ合格の誤解【800問NG·テキスト先】,published,G合格後,do,C,6,merge,past-question-strategy,マンション管理士試験の過去問だけ合格の誤解【800問NG·テキスト先】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
retake-schedule-adjustment,注意点・更新,マンション管理士試験の再受験の日程調整【12/1カレンダー】,published,G合格後,do,A,6,merge,retake-strategy,マンション管理士試験の再受験の日程調整【12/1カレンダー】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
score-gap-analysis,注意点・更新,マンション管理士試験の得点差の分析と対策【ギャップ1行】,published,G合格後,do,C,6,merge,retake-strategy,マンション管理士試験の得点差の分析と対策【ギャップ1行】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
study-hours-myth,注意点・更新,マンション管理士試験の勉強時間の神話【週12時間】,published,G合格後,do,C,6,merge,exam-overview,マンション管理士試験の勉強時間の神話【週12時間】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
syllabus-update-tracker,注意点・更新,マンション管理士試験のシラバス更新追跡【6/14トラッカー·9/1差分15分】,published,G合格後,do,C,6,merge,syllabus-how-to-read,マンション管理士試験のシラバス更新追跡【6/14トラッカー·9/1差分15分】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
glossary-how-to,用語ハブ活用法,マンション管理士試験の用語解説ハブの見方【7分野タグ10語/週】,published,H用語導線,know,C,50,keep,,マンション管理士試験の用語解説ハブの見方【7分野タグ10語/週】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
calculation-drill,用語ハブ活用法,マンション管理士試験の計算ドリル【1日10問5分】,published,H用語導線,know,C,4,merge,past-question-strategy,マンション管理士試験の計算ドリル【1日10問5分】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
confusing-terms,用語ハブ活用法,マンション管理士試験で混同しやすい用語ペアと対策【A4比較表10組】,published,H用語導線,know,C,4,merge,glossary-how-to,マンション管理士試験で混同しやすい用語ペアと対策【A4比較表10組】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
formula-memorization,用語ハブ活用法,マンション管理士試験の公式・計算式の覚え方【カード30枚】,published,H用語導線,know,C,4,merge,study-plan,マンション管理士試験の公式・計算式の覚え方【カード30枚】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
glossary-study-method,用語ハブ活用法,マンション管理士試験の用語集の使い方（演習と組み合わせる）,published,H用語導線,know,C,4,merge,glossary-how-to,マンション管理士試験の用語集の使い方（演習と組み合わせる）,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
important-terms-list,用語ハブ活用法,マンション管理士試験の重要用語の押さえ方【頻出50語】,published,H用語導線,know,C,4,merge,glossary-how-to,マンション管理士試験の重要用語の押さえ方【頻出50語】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
numbers-and-deadlines,用語ハブ活用法,マンション管理士試験の数字・期限のまとめ方【A4早見表10行】,published,H用語導線,know,C,4,merge,glossary-how-to,マンション管理士試験の数字・期限のまとめ方【A4早見表10行】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
numeric-trap-choices,用語ハブ活用法,マンション管理士試験の数値問題の引っかけ対策【罠ペア10組】,published,H用語導線,know,C,4,merge,glossary-how-to,マンション管理士試験の数値問題の引っかけ対策【罠ペア10組】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
rate-and-percentage,用語ハブ活用法,マンション管理士試験の割合・パーセント問題の解き方【3系統】,published,H用語導線,know,C,4,merge,glossary-how-to,マンション管理士試験の割合・パーセント問題の解き方【3系統】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
related-terms-navigation,用語ハブ活用法,マンション管理士試験の関連用語での回遊学習【2段まで】,published,H用語導線,know,C,4,merge,glossary-how-to,マンション管理士試験の関連用語での回遊学習【2段まで】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
terms-importance-levels,用語ハブ活用法,マンション管理士試験の用語の重要度の見方【A/B/C運用】,published,H用語導線,know,C,4,merge,glossary-how-to,マンション管理士試験の用語の重要度の見方【A/B/C運用】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
terms-with-past-questions,用語ハブ活用法,マンション管理士試験の用語と過去問の併用【5語→10問週次】,published,H用語導線,know,C,4,merge,glossary-how-to,マンション管理士試験の用語と過去問の併用【5語→10問週次】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
self-study-roadmap,独学対策,マンション管理士試験の独学ロードマップ【8か月·7分野】,published,I固有,do,B,8,merge,study-plan,マンション管理士試験の独学ロードマップ【8か月·7分野】,クラスター統合（テンプレ定義）,no,,n/a,yes,yes,other,,
