order,category,tag,tier,term,freq,note
190,法令・制度,適正化法,A,修繕積立金等の保管,69,
191,法令・制度,適正化法,A,管理計画認定制度,6,
192,法令・制度,適正化法,A,認定基準,15,
193,法令・制度,適正化法,A,基本方針,30,
194,法令・制度,適正化法,B,収納口座,2,
195,法令・制度,適正化法,B,保管口座,3,
196,法令・制度,適正化法,B,印鑑保管,25,
197,法令・制度,適正化法,B,業務管理者,140,
198,法令・制度,適正化法,B,業務処理の原則,40,
199,法令・制度,適正化法,B,帳簿の作成・保存,29,
200,法令・制度,適正化法,B,標識の掲示,7,
201,法令・制度,適正化法,B,立入検査,16,
202,法令・制度,適正化法,B,勧告・指導・命令,6,
203,法令・制度,適正化法,B,登録制度,8,
204,法令・制度,適正化法,B,認定の更新,26,
205,法令・制度,適正化法,B,認定の取消,26,
206,法令・制度,適正化法,B,国土交通大臣,7,
207,法令・制度,適正化法,B,都道府県知事,7,
208,法令・制度,適正化法,B,秘密保持義務,7,
209,法令・制度,適正化法,B,管理適正化推進センター,140,
210,法令・制度,適正化法,B,登録の更新,34,
211,法令・制度,関連法令,B,借地借家法,4,
212,法令・制度,関連法令,B,借地権,2,
213,法令・制度,関連法令,B,普通借地権,0,
214,法令・制度,関連法令,B,定期借地権,6,
215,法令・制度,関連法令,B,不動産登記法,7,
216,法令・制度,関連法令,B,表題部,7,
217,法令・制度,関連法令,B,表題登記,7,
218,法令・制度,関連法令,B,区分建物の登記,192,
219,法令・制度,関連法令,B,敷地権,22,
220,法令・制度,関連法令,B,建替え円滑化法,106,
221,法令・制度,関連法令,B,マンション建替組合,400,
222,法令・制度,関連法令,B,権利変換計画,8,
223,法令・制度,関連法令,B,売渡請求,4,
224,法令・制度,関連法令,B,被災マンション法,400,
225,法令・制度,関連法令,B,被災区分所有法,4,
226,法令・制度,関連法令,B,住宅品確法,10,
227,法令・制度,関連法令,B,住宅性能評価,10,
228,法令・制度,関連法令,C,借家権,0,
229,法令・制度,関連法令,C,建替え組合の認可,106,
230,法令・制度,関連法令,C,住宅金融支援機構,10,
231,契約・実務,管理組合運営,A,理事会,68,
232,契約・実務,管理組合運営,A,理事会決議,15,
233,契約・実務,管理組合運営,A,監事の監査,51,
234,契約・実務,管理組合運営,A,監事の出席権,51,
235,契約・実務,管理組合運営,A,出席資格,30,
236,契約・実務,管理組合運営,A,書面決議,5,
237,契約・実務,管理組合運営,A,議題,0,
238,契約・実務,管理組合運営,A,議案,18,
239,契約・実務,管理組合運営,A,役員の選任,52,
240,契約・実務,管理組合運営,A,役員の解任,27,
241,契約・実務,管理組合運営,A,議決定足数,7,
242,契約・実務,管理組合運営,A,出席定足数,30,
243,契約・実務,管理組合運営,A,議事進行,6,
244,契約・実務,管理組合運営,A,議長選任,52,
245,契約・実務,管理組合運営,A,委任状の取扱い,11,
246,契約・実務,管理組合運営,B,議決権行使書の取扱い,78,
247,契約・実務,管理組合運営,B,役員報酬,27,
248,契約・実務,管理組合運営,B,役員の補欠,27,
249,契約・実務,管理組合運営,B,役員候補,27,
250,契約・実務,管理組合運営,B,専門委員会の設置,62,
251,契約・実務,管理組合運営,B,監事の同席義務,51,
252,契約・実務,管理組合運営,B,議決方法,25,
253,契約・実務,管理組合運営,B,普通決議の要件,164,
254,契約・実務,管理組合運営,B,特別決議の要件,164,
255,契約・実務,管理組合運営,B,理事の代理出席,58,
256,契約・実務,管理組合運営,B,副理事長,7,
257,契約・実務,管理組合運営,B,会議体,27,
258,契約・実務,管理組合運営,B,役員資格制限,29,
259,契約・実務,管理組合運営,B,役員の高齢化対応,27,
260,契約・実務,管理組合運営,B,外部役員制度,43,
261,契約・実務,管理組合運営,B,議決権の代理行使,78,
262,契約・実務,管理組合運営,B,監事の選任,52,
263,契約・実務,標準管理委託契約書,A,事務管理業務,140,
264,契約・実務,標準管理委託契約書,A,管理員業務,140,
265,契約・実務,標準管理委託契約書,A,清掃業務,40,
266,契約・実務,標準管理委託契約書,A,建物・設備管理業務,192,
267,契約・実務,標準管理委託契約書,A,緊急時の応急処置,7,
268,契約・実務,標準管理委託契約書,A,再委託,8,
269,契約・実務,標準管理委託契約書,A,委託契約の更新,33,
270,契約・実務,標準管理委託契約書,A,管理委託契約の重要事項説明,243,
271,契約・実務,標準管理委託契約書,A,管理事務報告,6,
272,契約・実務,標準管理委託契約書,A,契約締結時の書面交付,55,
273,契約・実務,標準管理委託契約書,B,業務処理基準,40,
274,契約・実務,標準管理委託契約書,B,業務報告書,40,
275,契約・実務,標準管理委託契約書,B,個人情報の取扱い,13,
276,契約・実務,標準管理委託契約書,B,守秘義務,32,
277,契約・実務,標準管理委託契約書,B,損害賠償条項,14,
278,契約・実務,標準管理委託契約書,B,暴力団排除条項,5,
279,契約・実務,標準管理委託契約書,B,契約の解約,33,
280,契約・実務,標準管理委託契約書,B,業務水準,40,
281,契約・実務,標準管理委託契約書,B,重要事項説明者,243,
282,契約・実務,標準管理委託契約書,B,危険負担,31,
283,契約・実務,標準管理委託契約書,B,管理員業務時間,140,
284,契約・実務,会計,A,管理費会計,9,
285,契約・実務,会計,A,修繕積立金会計,7,
286,契約・実務,会計,A,区分経理,17,
287,契約・実務,会計,A,収支予算,2,
288,契約・実務,会計,A,収支決算,9,
289,契約・実務,会計,A,貸借対照表,2,
290,契約・実務,会計,A,発生主義,11,
291,契約・実務,会計,A,仕訳,16,
292,契約・実務,会計,A,未収金,24,
293,契約・実務,会計,A,未払金,14,
294,契約・実務,会計,A,前受金,12,
295,契約・実務,会計,A,前払金,8,
296,契約・実務,会計,A,正味財産,22,
297,契約・実務,会計,A,滞納処理,19,
298,契約・実務,会計,A,督促,0,
299,契約・実務,会計,B,現金主義,3,
300,契約・実務,会計,B,借方・貸方,13,
301,契約・実務,会計,B,少額訴訟,7,
302,契約・実務,会計,B,法定利率,7,
303,契約・実務,会計,B,遅延損害金,5,
304,契約・実務,税務,B,消費税,16,
305,契約・実務,税務,B,収益事業,6,
306,契約・実務,税務,B,法人税,5,
307,契約・実務,税務,B,源泉徴収,10,
308,契約・実務,税務,B,法定調書,9,
309,契約・実務,長期修繕計画,A,長期修繕計画,84,
310,契約・実務,長期修繕計画,A,計画期間,9,
311,契約・実務,長期修繕計画,A,推定修繕工事費,2,
312,契約・実務,長期修繕計画,A,修繕周期,17,
313,契約・実務,長期修繕計画,A,修繕積立基金,17,
314,契約・実務,長期修繕計画,A,段階増額積立方式,13,
315,契約・実務,長期修繕計画,A,均等積立方式,3,
316,契約・実務,長期修繕計画,A,長期修繕計画ガイドライン,84,
317,契約・実務,長期修繕計画,A,修繕積立金ガイドライン,69,
318,契約・実務,大規模修繕,A,大規模修繕工事,20,
319,契約・実務,大規模修繕,A,設計監理方式,5,
320,契約・実務,大規模修繕,A,責任施工方式,4,
321,契約・実務,大規模修繕,A,管理組合主導方式,193,
322,契約・実務,大規模修繕,A,修繕委員会,17,
323,契約・実務,大規模修繕,A,劣化調査,22,
324,契約・実務,大規模修繕,A,建物診断,5,
325,契約・実務,大規模修繕,A,工事請負契約,3,
326,契約・実務,大規模修繕,A,工事監理者,7,
327,契約・実務,大規模修繕,B,中性化,10,
328,契約・実務,大規模修繕,B,鉄筋腐食,3,
329,契約・実務,大規模修繕,B,タイル剥落,16,
330,契約・実務,大規模修繕,B,シーリング更新,23,
331,契約・実務,大規模修繕,B,外壁塗装,23,
332,契約・実務,大規模修繕,B,屋上防水,6,
333,契約・実務,大規模修繕,B,給排水管更新,23,
334,契約・実務,紛争処理,B,内容証明郵便,2,
335,契約・実務,紛争処理,B,督促手続,36,
336,契約・実務,紛争処理,B,少額訴訟手続,36,
337,契約・実務,紛争処理,B,通常訴訟,13,
338,契約・実務,紛争処理,B,強制執行,6,
339,契約・実務,紛争処理,B,ADR,0,
340,契約・実務,紛争処理,B,民事調停,0,
341,契約・実務,紛争処理,B,仮処分,21,
342,契約・実務,紛争処理,B,支払督促,26,
343,契約・実務,紛争処理,C,和解,0,
344,契約・実務,適正化基本方針,A,マンション管理適正化基本方針,400,
345,契約・実務,適正化基本方針,A,管理計画認定基準,3,
346,契約・実務,適正化基本方針,A,管理組合運営の原則,193,
347,契約・実務,適正化基本方針,A,長期修繕計画作成ガイドライン,84,
348,契約・実務,適正化基本方針,A,滞納管理費等の処理ガイドライン,140,
349,契約・実務,実務一般,B,外部専門家活用,17,
350,契約・実務,実務一般,B,第三者管理方式,140,
351,契約・実務,実務一般,B,高齢化への対応策,18,
352,契約・実務,実務一般,B,個人情報保護,2,
353,契約・実務,実務一般,B,居住者名簿,3,
354,契約・実務,実務一般,B,災害時要援護者,3,
355,契約・実務,実務一般,B,BCP,0,
356,契約・実務,実務一般,B,防災マニュアル,3,
357,契約・実務,実務一般,B,名簿の作成,29,
358,契約・実務,実務一般,B,名簿の使用目的,78,
359,契約・実務,実務一般,B,個人データ第三者提供,45,
360,契約・実務,実務一般,B,安全配慮義務,32,
361,契約・実務,実務一般,B,苦情対応,18,
362,契約・実務,実務一般,B,コミュニティ形成,3,
363,契約・実務,実務一般,B,プライバシー保護,11,
364,設備・その他,建築基準法,A,用途地域,19,
365,設備・その他,建築基準法,A,容積率,7,
366,設備・その他,建築基準法,A,建ぺい率,0,
367,設備・その他,建築基準法,A,防火地域,3,
368,設備・その他,建築基準法,A,準防火地域,2,
369,設備・その他,建築基準法,A,既存不適格,2,
370,設備・その他,建築基準法,A,確認申請,71,
371,設備・その他,建築基準法,A,完了検査,16,
372,設備・その他,建築基準法,A,定期報告制度,4,
373,設備・その他,建築基準法,A,特定建築物,2,
374,設備・その他,建築基準法,A,建築設備の定期検査,134,
375,設備・その他,建築基準法,A,建築物の維持保全,39,
376,設備・その他,建築基準法,B,中間検査,16,
377,設備・その他,建築基準法,B,内装制限,29,
378,設備・その他,建築基準法,B,避難施設,8,
379,設備・その他,建築基準法,B,非常用照明,3,
380,設備・その他,建築基準法,B,採光,4,
381,設備・その他,建築基準法,B,換気,5,
382,設備・その他,都市計画法,B,市街化区域,10,
383,設備・その他,都市計画法,B,市街化調整区域,15,
384,設備・その他,都市計画法,B,都市計画区域,6,
385,設備・その他,都市計画法,B,用途地域の制限,39,
386,設備・その他,都市計画法,B,地区計画,5,
387,設備・その他,建物構造,A,鉄筋コンクリート造,43,
388,設備・その他,建物構造,A,鉄骨鉄筋コンクリート造,43,
389,設備・その他,建物構造,A,鉄骨造,3,
390,設備・その他,建物構造,A,新耐震基準,15,
391,設備・その他,建物構造,A,旧耐震基準,15,
392,設備・その他,建物構造,A,耐震診断,4,
393,設備・その他,建物構造,A,耐震改修,2,
394,設備・その他,建物構造,A,耐震補強,0,
395,設備・その他,建物構造,A,免震構造,2,
396,設備・その他,建物構造,A,制震構造,31,
397,設備・その他,建物構造,A,コンクリートの中性化,43,
398,設備・その他,建物構造,B,壁式構造,31,
399,設備・その他,建物構造,B,ラーメン構造,31,
400,設備・その他,建物構造,B,アスベスト,4,
401,設備・その他,建物構造,B,ひび割れ,0,
402,設備・その他,建物構造,B,爆裂,0,
403,設備・その他,建物構造,B,タイル剥離,16,
404,設備・その他,建物構造,B,ALC,0,
405,設備・その他,建物構造,B,PC板,0,
406,設備・その他,建物構造,B,外断熱,2,
407,設備・その他,給排水,A,直結給水方式,3,
408,設備・その他,給排水,A,直結増圧方式,13,
409,設備・その他,給排水,A,高置水槽方式,3,
410,設備・その他,給排水,A,受水槽,28,
411,設備・その他,給排水,A,高置水槽,3,
412,設備・その他,給排水,A,簡易専用水道,20,
413,設備・その他,給排水,A,貯水槽水道,9,
414,設備・その他,給排水,A,排水方式,14,
415,設備・その他,給排水,A,合流式排水,14,
416,設備・その他,給排水,A,分流式排水,14,
417,設備・その他,給排水,A,トラップ,12,
418,設備・その他,給排水,A,封水,3,
419,設備・その他,給排水,A,通気管,3,
420,設備・その他,給排水,A,通気立て管,7,
421,設備・その他,給排水,A,排水立て管,14,
422,設備・その他,給排水,B,圧力タンク方式,13,
423,設備・その他,給排水,B,ポンプ直送方式,13,
424,設備・その他,給排水,B,排水横引管,14,
425,設備・その他,給排水,B,排水ヘッダー,14,
426,設備・その他,給排水,B,浄化槽,0,
427,設備・その他,電気設備,A,高圧一括受電方式,13,
428,設備・その他,電気設備,A,契約電力,33,
429,設備・その他,電気設備,A,漏電遮断器,0,
430,設備・その他,電気設備,A,配電盤,0,
431,設備・その他,電気設備,A,非常用電源,4,
432,設備・その他,電気設備,A,自家発電設備,134,
433,設備・その他,電気設備,A,蓄電池設備,134,
434,設備・その他,電気設備,A,共用部分の電気設備,153,
435,設備・その他,電気設備,B,引込線,0,
436,設備・その他,電気設備,B,太陽光発電,0,
437,設備・その他,ガス設備,B,ガス導管,0,
438,設備・その他,ガス設備,B,ガス警報器,0,
439,設備・その他,ガス設備,B,CO警報器,0,
440,設備・その他,ガス設備,B,一酸化炭素中毒対策,6,
441,設備・その他,ガス設備,B,ガスメーター,0,
442,設備・その他,防災・消防,A,消防用設備等,16,
443,設備・その他,防災・消防,A,自動火災報知設備,2,
444,設備・その他,防災・消防,A,屋内消火栓設備,134,
445,設備・その他,防災・消防,A,スプリンクラー設備,134,
446,設備・その他,防災・消防,A,誘導灯,12,
447,設備・その他,防災・消防,A,排煙設備,2,
448,設備・その他,防災・消防,A,非常用照明装置,4,
449,設備・その他,防災・消防,A,防火戸,0,
450,設備・その他,防災・消防,A,防火管理者,8,
451,設備・その他,防災・消防,A,消防計画,4,
452,設備・その他,防災・消防,A,消防用設備等の点検報告,134,
453,設備・その他,防災・消防,A,自衛消防組織,2,
454,設備・その他,防災・消防,B,連結送水管,3,
455,設備・その他,防災・消防,B,連結散水設備,134,
456,設備・その他,防災・消防,B,避難器具,3,
457,設備・その他,防災・消防,B,防火シャッター,3,
458,設備・その他,防災・消防,B,共同住宅用自動火災報知設備,134,
459,設備・その他,防災・消防,B,住宅用火災警報器,10,
460,設備・その他,防災・消防,B,防炎物品,0,
461,設備・その他,防災・消防,B,防火対象物点検報告,36,
462,設備・その他,防災・消防,B,防災備蓄,3,
463,設備・その他,換気・空調,A,第1種換気,0,
464,設備・その他,換気・空調,A,第2種換気,0,
465,設備・その他,換気・空調,A,第3種換気,0,
466,設備・その他,換気・空調,A,24時間換気,0,
467,設備・その他,換気・空調,A,シックハウス対策,6,
468,設備・その他,換気・空調,B,全熱交換器,0,
469,設備・その他,換気・空調,B,ホルムアルデヒド,0,
470,設備・その他,換気・空調,B,中央熱源方式,13,
471,設備・その他,換気・空調,B,個別熱源方式,13,
472,設備・その他,換気・空調,B,ファンコイルユニット,0,
473,設備・その他,換気・空調,B,冷媒,0,
474,設備・その他,昇降機,A,エレベーター,22,
475,設備・その他,昇降機,A,戸開走行保護装置,11,
476,設備・その他,昇降機,A,エレベーターの定期検査報告,36,
477,設備・その他,昇降機,B,昇降機定期検査,16,
478,設備・その他,昇降機,B,ロープ式エレベーター,22,
479,設備・その他,昇降機,B,油圧式エレベーター,22,
480,設備・その他,昇降機,B,機械式駐車場,10,
481,設備・その他,防犯・警備,A,防犯設計指針,17,
482,設備・その他,防犯・警備,A,警備業法,2,
483,設備・その他,防犯・警備,A,オートロック,2,
484,設備・その他,防犯・警備,A,防犯カメラ,11,
485,設備・その他,防犯・警備,B,警備員資格,5,
486,設備・その他,防犯・警備,B,機械警備,4,
487,設備・その他,防犯・警備,B,常駐警備,0,
488,設備・その他,個人情報,A,個人情報保護法,2,
489,設備・その他,個人情報,A,個人情報,13,
490,設備・その他,個人情報,A,個人データ,4,
491,設備・その他,個人情報,A,保有個人データ,4,
492,設備・その他,個人情報,A,要配慮個人情報,14,
493,設備・その他,個人情報,B,安全管理措置,140,
494,設備・その他,個人情報,B,第三者提供,3,
495,設備・その他,個人情報,B,共同利用,14,
496,設備・その他,その他法令,B,住宅瑕疵担保履行法,10,
497,設備・その他,その他法令,B,省エネ法,2,
498,設備・その他,その他法令,B,浄化槽法,0,
499,設備・その他,その他法令,B,景観法,2,
500,設備・その他,その他法令,B,廃棄物処理法,19,
501,設備・その他,その他法令,B,火災保険,3,
