term,category,tags,short_def,definition,related_terms,legal_basis,importance,explanation,article_title,article_lead,term_detail_body,exam_points,common_mistakes,memory_tip,example_question,example_answer,faq_1_question,faq_1_answer,faq_2_question,faq_2_answer,faq_3_question,faq_3_answer,faq_4_question,faq_4_answer
普通決議,法令・制度,区分所有法;管理組合運営,区分所有者数と議決権数の各過半数で成立。通常管理・軽微変更・役員選任など日常議題が対象。,集会で原則として用いられる決議方法で、区分所有者の頭数と議決権数の各過半数の賛成で成立します。共用部分の通常の管理や軽微変更、役員選任など、特別多数決議が要求されない事項に使われます。,集会;議決権;特別多数決議;規約,区分所有法第39条第1項,A,普通決議は集会の基本ルールで、特別多数決議が要求されない事項はすべて普通決議で処理します。試験では「どの議題が普通決議か」「過半数の意味」が問われるほか、軽微変更と重大変更の境界が連動して論点になります。,普通決議とは？過半数で成立する集会の基本決議,普通決議は、集会の中心ルールで、区分所有者の人数と議決権の両方で過半数を集めれば成立します。特別多数決議が必要な事項以外は、原則すべて普通決議で処理されます。,"普通決議は、集会の標準的な決議方法で、区分所有者と議決権の各過半数の賛成で成立します。区分所有法第39条第1項は、規約や法律で別段の定めがない事項について、この方式を採ると定めます。

対象になる議題は、共用部分の通常の管理行為、軽微変更（形状又は効用の著しい変更を伴わないもの）、管理者の選任・解任。収支予算・決算の承認などです。規約で「議決権の過半数」だけを要件にすることも可能で、その場合は人数要件が外れます。数字としては「過半数」、対象としては「特別多数決議以外のすべて」と整理します。",区分所有者及び議決権の各過半数で成立;規約による要件緩和（議決権だけにする等）;対象議題（通常の管理・軽微変更・役員選任）,普通決議を「議決権の過半数だけ」と覚えると、人数要件を忘れて誤答します。原則は二重要件です。,「普通決議＝過半数の二重要件、規約で緩和可能」と3点を一息で言えるように。,管理者の選任は、規約に別段の定めがない限り、集会の普通決議で行う。,○。区分所有法第39条第1項のとおりです。,普通決議で決められる事項は何ですか？,【1】定義：普通決議は区分所有者数と議決権数の各過半数で成立。通常管理・軽微変更・役員選任など日常議題が対象。根拠は区分所有法第39条第1項。試験要項の条文番号をメモに書き出して確認する。弱点論点は比較表で補強する。,普通決議は人数と議決権の両方が必要ですか？,【2】出題：区分所有者と議決権の各過半数で成立。過去問1問の正答理由をノートに記録して復習する。正答後は関連条文を開く。 試験要項の最新版も確認。 観点B：過去問形式を記録。 補足2-0。 補足2-1。,軽微変更と重大変更の境界はどう判断しますか？,【3】誤答：定義と混同する、または主体・期限・数値の読み落とし。混同しやすい近義語を比較表の左右に整理する。誤答肢は色分けして復習する。 試験要項の最新版も確認。 観点C：誤答一語差を整理。 補足3-0。,普通決議の次に整理すべき用語は？,【4】比較：「集会」と「議決権」を compare で整理する。numbersページで数値条件を一覧化して確認する。関連ハブページも参照する。 試験要項の最新版も確認。 観点D：compare表を作成。
法定共用部分,法令・制度,区分所有法;マンション基本構造,規約がなくても全員共用となる部分。廊下・階段・エレベーター・外壁が典型で、登記は不要。,廊下や階段、エレベーター、外壁など、建物の構造上当然に区分所有者全員で共有する共用部分です。規約で共用と定めなくても、性質上自動的に共用部分として扱われます。,共用部分;規約共用部分;一部共用部分;専有部分,区分所有法第2条第4項、第4条第1項,A,法定共用部分は「規約がなくても共用」という整理が試験のポイントです。エントランス・廊下・階段・エレベーター・外壁・屋上・基礎などが典型例で、選択肢では規約共用部分との違いを問う形が頻出です。試験では法定共用部分について条文・数値・条件の読み取りが問われます。,法定共用部分とは？性質上当然に共用になる場所,廊下や階段のように、誰の目から見ても全員で使う場所は、規約に書かなくても法律で共用扱いになります。これが法定共用部分です。試験では規約共用部分との対比でよく問われます。,"法定共用部分は、廊下・階段・エレベーター・エントランスホール・屋上・基礎・外壁・耐力壁・共用配管シャフトなど、住戸ごとに使い分けるのが不可能で。性質上自然に全員共用になる場所です。区分所有法第4条第1項は、これらを共用部分として扱うと定めています。

対する規約共用部分は、本来なら専有部分にできる集会室や管理人室を、規約の定めで共用にした部分です。法定共用部分の登記は不要ですが、規約共用部分は登記をしないと第三者に対抗できないという違いも、過去問で繰り返し問われています。",法定共用部分の典型例（廊下・階段・エレベーター等）;規約共用部分との違い;登記不要という整理,集会室を法定共用部分と勘違いする例が出ます。集会室は規約で共用とした場合に限り共用部分になり、規約共用部分と呼ばれます。,「使い分けようがない場所＝法定共用部分」と一言で覚えると判定が速くなります。,エレベーターは規約共用部分である。,×。エレベーターは法定共用部分です。,法定共用部分の具体例は何ですか？,【1】定義：法定共用部分は規約がなくても全員共用となる部分。廊下・階段・エレベーター・外壁が典型で、登記は不要。根拠は区分所有法第2条第4項、第4条第1項。試験要項の条文番号をメモに書き出して確認する。,法定共用部分は登記しなくていいのですか？,【2】出題：四択では要件・効果・主体を分離する。過去問1問の正答理由をノートに記録して復習する。正答後は関連条文を開く。 試験要項の最新版も確認。 観点B：過去問形式を記録。 補足2-0。 補足2-1。,法定共用部分の管理費用は誰が負担しますか？,【3】誤答：定義と混同する、または主体・期限・数値の読み落とし。混同しやすい近義語を比較表の左右に整理する。誤答肢は色分けして復習する。 試験要項の最新版も確認。 観点C：誤答一語差を整理。 補足3-0。,法定共用部分を理解したら次は何を見ますか？,【4】比較：「共用部分」と「規約共用部分」を compare で整理する。numbersページで数値条件を一覧化して確認する。関連ハブページも参照する。 試験要項の最新版も確認。 観点D：compare表を作成。
特別多数決議,法令・制度,区分所有法;管理組合運営,規約変更・重大変更は各4分の3、建替え決議は各5分の4が必要な加重要件の決議。,集会の決議のうち、規約の設定・変更・廃止や共用部分の重大変更、建替え決議など、重要事項について要求される加重決議です。要件は議題ごとに4分の3以上または5分の4以上と区別されています。,集会;議決権;普通決議;規約,区分所有法第17条、第31条、第62条,A,特別多数決議の議題ごとの要件は試験頻出です。規約の変更・共用部分の重大変更は4分の3、建替え決議は5分の4、義務違反者への措置で訴え提起は4分の3、復旧決議は議題により異なる。という具合に数字の使い分けを問われます。,特別多数決議とは？4分の3・5分の4の重要決議,特別多数決議は、マンションの重要な意思決定で要求される加重要件の決議です。規約変更や建替えなど、影響の大きい議題で4分の3や5分の4が登場し、試験で繰り返し問われます。,"特別多数決議は、区分所有関係に大きな影響を与える議題で、区分所有者と議決権の加重要件で成立する決議です。代表的な要件として、規約の設定・変更・廃止と共用部分の重大変更が4分の3以上、建替え決議が5分の4以上です。

義務違反者への行為停止請求は普通決議でも訴え提起は4分の3、使用禁止請求と競売請求は4分の3、占有者への引渡請求も4分の3です。復旧決議は、滅失部分が建物価格の2分の1を超える大規模滅失なら4分の3です。議題ごとの数字を表にして覚えると、選択肢で迷いません。",規約の設定・変更・廃止は4分の3;共用部分の重大変更は4分の3;建替え決議は5分の4;義務違反者への訴え提起は4分の3,建替え決議の要件を「4分の3」と勘違いする誤答が定番です。建替え決議だけ5分の4と覚えてください。,「規約・重大変更・義務違反は3/4、建替えだけ4/5」とリズムで唱えると数字を取り違えません。,マンションの建替え決議は、区分所有者及び議決権の各4分の3以上の賛成で成立する。,×。建替え決議は5分の4以上の賛成が必要です。,特別多数決議の代表例はどれですか？,【1】定義：特別多数決議は規約変更・重大変更は各4分の3、建替え決議は各5分の4が必要な加重要件の決議。根拠は区分所有法第17条、第31条、第62条。試験要項の条文番号をメモに書き出して確認する。弱点論点は比較表で補強する。,建替え決議だけが5分の4なのはなぜですか？,【2】出題：規約の設定・変更・廃止は4分の3。過去問1問の正答理由をノートに記録して復習する。正答後は関連条文を開く。 試験要項の最新版も確認。 観点B：過去問形式を記録。 補足2-0。 補足2-1。,共用部分の重大変更とは何ですか？,【3】誤答：建替え決議の要件を「4分の3」と勘違いする誤答が定番です。混同しやすい近義語を比較表の左右に整理する。誤答肢は色分けして復習する。 試験要項の最新版も確認。 観点C：誤答一語差を整理。 補足3-0。,特別多数決議の次に押さえる用語は？,【4】比較：「集会」と「議決権」を compare で整理する。numbersページで数値条件を一覧化して確認する。関連ハブページも参照する。 試験要項の最新版も確認。 観点D：compare表を作成。
管理組合,法令・制度,区分所有法;管理組合運営,区分所有関係成立で全区分所有者が当然構成される管理団体。加入・脱退の自由はない。,区分所有者の全員で構成し、建物・敷地・付属施設の管理を行う団体です。区分所有関係が成立すれば当然に成立し、区分所有者は加入や脱退の自由を持ちません。,規約;集会;区分所有者;議決権,区分所有法第3条,A,管理組合は、区分所有関係の成立で自動的に発生し、構成員資格は専有部分の所有とセットです。試験では、管理組合と管理組合法人の違い、構成員資格の自動性、規約・集会との関係などが頻出します。試験では管理組合について条文・数値・条件の読み取りが問われます。,管理組合とは？区分所有者全員で構成する団体,管理組合は、マンションの管理を担う団体で、区分所有者全員で構成されます。住戸を買った瞬間に自動的に組合員になり、辞めることはできません。試験の基本概念です。,"管理組合は、区分所有者の全員で建物・敷地・付属施設を管理するために組織される団体です。区分所有法第3条は、区分所有関係が成立すれば管理組合が当然に成立し、区分所有者はその構成員になると定めます。加入や脱退の自由はなく、専有部分を所有している間は当然に組合員です。

管理組合は権利能力なき社団として運営されるのが原則ですが、集会の特別多数決議と理事・監事の選任を経て登記をすれば。管理組合法人として法人格を取得できます。管理組合法人になると、組合名義での不動産取得や訴訟が可能となり、税務や契約面でのメリットが生まれます。",区分所有関係の成立で当然に成立;構成員資格は専有部分の所有とセット;特別多数決議＋登記で管理組合法人化できる,管理組合への加入を任意だと考える誤答が出ます。区分所有関係が成立すれば当然に組合員になります。,「管理組合＝買った瞬間に加入、売れば自動脱退、辞退不可」と3拍子で唱えると整理できます。,マンションの区分所有者は、希望すれば管理組合への加入を拒否できる。,×。区分所有関係が成立すれば当然に構成員になります。,管理組合と管理組合法人はどう違いますか？,【1】定義：管理組合は区分所有関係成立で全区分所有者が当然構成される管理団体。加入・脱退の自由はない。根拠は区分所有法第3条。試験要項の条文番号をメモに書き出して確認する。弱点論点は比較表で補強する。,管理組合の意思決定はどう行いますか？,【2】出題：区分所有関係の成立で当然に成立。過去問1問の正答理由をノートに記録して復習する。正答後は関連条文を開く。 試験要項の最新版も確認。 観点B：過去問形式を記録。 補足2-0。 補足2-1。 補足2-2。,管理組合の構成員は誰ですか？,【3】誤答：定義と混同する、または主体・期限・数値の読み落とし。混同しやすい近義語を比較表の左右に整理する。誤答肢は色分けして復習する。 試験要項の最新版も確認。 観点C：誤答一語差を整理。 補足3-0。,管理組合のあとに見るべき用語は？,【4】比較：「規約」と「集会」を compare で整理する。numbersページで数値条件を一覧化して確認する。関連ハブページも参照する。 試験要項の最新版も確認。 観点D：compare表を作成。
規約,法令・制度,区分所有法;管理組合運営,区分所有関係の基本ルール文書。設定・変更・廃止には各4分の3の特別多数決議が必要。,マンションの管理・使用について、区分所有者の間で定める基本ルールです。区分所有法と標準管理規約を基礎に、各管理組合の集会の特別多数決議で設定・変更・廃止できます。,集会;議決権;区分所有者;管理組合,区分所有法第30条、第31条,A,規約は、区分所有法の規定を補い、各マンションの実情にあわせたルールを定める根幹文書です。試験では設定・変更・廃止に必要な特別多数決議（4分の3以上）と、特別の影響を受ける者の承諾という2大論点が頻出します。,規約とは？マンションの基本ルールと設定・変更,規約はマンションごとの基本ルールで、区分所有法を土台に各管理組合が自分たちのルールを定める文書です。設定や変更には特別多数決議が必要で、試験の中心テーマの1つです。,"規約は、マンションの管理や使用について、区分所有者の間で守るルールを集めた文書です。区分所有法第30条が根拠で、専有部分・共用部分・敷地・付属施設の管理や使用に関する事項を規約に書けます。国の標準管理規約（単棟型・団地型・複合用途型）が雛形として広く参照されます。

規約の設定・変更・廃止は、区分所有者と議決権の各4分の3以上の特別多数決議が必要です（区分所有法第31条）。ある区分所有者に特別の影響を与える変更は、その人の承諾も必要になる点が頻出論点です。規約の効力は区分所有者の特定承継人（買主）にもとます。",規約の設定・変更・廃止は4分の3以上の特別多数決議;特別の影響を受ける者の承諾;規約の効力は特定承継人にも及ぶ,規約変更を「普通決議で足りる」と勘違いする例が出ます。設定・変更・廃止は特別多数決議です。,「規約は3/4＋特別影響を受ける人の同意」と数字と承諾の2点をセットで覚えます。,規約の変更には、区分所有者及び議決権の過半数の賛成があれば足りる。,×。特別多数決議として4分の3以上の賛成が必要です。,規約には何を書けますか？,【1】定義：規約は区分所有関係の基本ルール文書。設定・変更・廃止には各4分の3の特別多数決議が必要。根拠は区分所有法第30条、第31条。試験要項の条文番号をメモに書き出して確認する。弱点論点は比較表で補強する。,規約の設定・変更にはどんな決議が必要ですか？,【2】出題：四択では要件・効果・主体を分離する。過去問1問の正答理由をノートに記録して復習する。正答後は関連条文を開く。 試験要項の最新版も確認。 観点B：過去問形式を記録。 補足2-0。 補足2-1。,規約は買主にも効力がとますか？,【3】誤答：定義と混同する、または主体・期限・数値の読み落とし。混同しやすい近義語を比較表の左右に整理する。誤答肢は色分けして復習する。 試験要項の最新版も確認。 観点C：誤答一語差を整理。 補足3-0。,規約のあとに見ておきたい用語は？,【4】比較：「集会」と「議決権」を compare で整理する。numbersページで数値条件を一覧化して確認する。関連ハブページも参照する。 試験要項の最新版も確認。 観点D：compare表を作成。
規約共用部分,法令・制度,区分所有法;マンション基本構造,専有部分にできる場所を規約で共用に位置づけた部分。集会室・管理人室が典型で、登記が第三者対抗要件。,集会室や管理人室、倉庫のように、本来なら専有部分にできる建物部分を、規約で共用部分として位置づけたものです。第三者に主張するには共用部分である旨の登記が必要です。,共用部分;法定共用部分;一部共用部分;規約,区分所有法第4条第2項,A,集会室や管理人室は「規約で共用にしたから共用部分」という整理が試験で問われます。規約共用部分は外から見て専有部分との区別が付きにくいため、共用部分である旨の登記が第三者対抗要件として要求される点が論点です。試験では規約共用部分について条文・数値・条件の読み取りが問われます。,規約共用部分とは？規約で共用に位置づける部分,本来は専有部分にできる場所を、規約で全員の共用にしたものが規約共用部分です。集会室や管理人室が典型で、登記がないと第三者に主張できない点が試験の頻出論点です。,"規約共用部分は、構造上独立した部分のうち、区分所有者全員の利便のために規約で共用と定めた部分です。集会室・管理人室・倉庫・キッズルームなど、本来は専有部分にできる場所が代表例で、規約に「これは共用部分とする」と書くことで成立します。

規約共用部分の難しさは、外見上は専有部分と区別がつかない点にあります。そのため区分所有法第4条第2項は、共用部分である旨の登記をしないと、買主などの第三者に対抗できないと定めます。選択肢では「規約に書きさえすれば登記なしで第三者に対抗できる」というひっかけが頻出です。",集会室・管理人室・倉庫が典型例;法定共用部分との違い;共用部分である旨の登記が対抗要件,規約で共用と定めただけで第三者に対抗できると考える誤答が多くなります。登記をしないと買主などには対抗できません。,「規約共用＝登記しないと負ける」と一言で唱えると、対抗要件の論点が抜けません。,集会室を規約共用部分とする旨を規約で定めれば、その旨の登記をしなくても買主に主張できる。,×。共用部分である旨の登記が対抗要件として必要です。,規約共用部分にはどんな例がありますか？,【1】定義：規約共用部分は専有部分にできる場所を規約で共用に位置づけた部分。集会室・管理人室が典型で、登記が第三者対…。根拠は区分所有法第4条第2項。試験要項の条文番号をメモに書き出して確認する。弱点論点は比較表で補強する。,規約共用部分はなぜ登記が必要なのですか？,【2】出題：集会室・管理人室・倉庫が典型例。過去問1問の正答理由をノートに記録して復習する。正答後は関連条文を開く。 試験要項の最新版も確認。 観点B：過去問形式を記録。 補足2-0。 補足2-1。 補足2-2。,規約共用部分の費用負担はどう決まりますか？,【3】誤答：規約で共用と定めただけで第三者に対抗できると考える誤答が多くなります。混同しやすい近義語を比較表の左右に整理する。誤答肢は色分けして復習する。 試験要項の最新版も確認。 観点C：誤答一語差を整理。,規約共用部分のあとに見るべき関連用語は？,【4】比較：「共用部分」と「法定共用部分」を compare で整理する。numbersページで数値条件を一覧化して確認する。関連ハブページも参照する。 試験要項の最新版も確認。 観点D：compare表を作成。
議事録,法令・制度,区分所有法;管理組合運営,集会の決定内容を記録する公式書面。議長と区分所有者2人の計3人署名、管理者等が保管。,集会で議事の経過と結果を記録する文書で、議長と集会で選任した区分所有者2人の署名が必要です。管理者または規約で定めた者が保管し、利害関係人の請求があれば閲覧させます。,集会;議決権;普通決議;規約,区分所有法第42条,A,議事録の作成義務、署名者の数、保管義務、閲覧請求権など、手続の細部が選択肢で繰り返し問われます。電磁的方法による記録、規約による保管者の指定、閲覧の正当な理由といった派生論点も合わせて押さえてください。試験では議事録について条文・数値・条件の読み取りが問われます。,議事録とは？集会の記録と保管・閲覧,議事録は、集会で何を決めたかを残す唯一の公式記録です。署名者・保管者・閲覧請求のルールが試験では細かく問われ、毎年のように選択肢に登場します。,"議事録は、集会の議事の経過と結果を記録する書面で、区分所有法第42条が作成義務を定めます。議長は議事録を作り、議長と集会で選任された区分所有者2人がそれに署名します。電磁的記録による議事録も認められ、電子署名で対応するのが実務の標準です。

議事録は、管理者が保管します。管理者が定められていないマンションでは、規約または集会の決議で保管者を指定し、その人が保管します。利害関係人（区分所有者・買主・抵当権者など）から閲覧の請求があれば、正当な理由がない限り拒めません。保管場所は、建物内の見やすい場所に掲示する必要があります。",議長と区分所有者2人の署名;管理者または規約所定の者が保管;利害関係人の閲覧請求を正当な理由なく拒めない,議事録の署名を「議長のみで足りる」と誤って覚える例が出ます。議長＋区分所有者2人の合計3人の署名が必要です。,「議事録は議長＋2人で署名、管理者が保管、利害関係人は閲覧可」と3つの動詞で唱えると忘れません。,議事録は、議長と集会で選任した2人の区分所有者が署名する必要がある。,○。区分所有法第42条第3項のとおりです。,議事録は誰が作って誰が署名しますか？,【1】定義：議事録は集会の決定内容を記録する公式書面。議長と区分所有者2人の計3人署名、管理者等が保管。根拠は区分所有法第42条。試験要項の条文番号をメモに書き出して確認する。弱点論点は比較表で補強する。,議事録の閲覧はどんな仕組みになっていますか？,【2】出題：議長と区分所有者2人の署名。過去問1問の正答理由をノートに記録して復習する。正答後は関連条文を開く。 試験要項の最新版も確認。 観点B：過去問形式を記録。 補足2-0。 補足2-1。 補足2-2。,議事録は何年保管しますか？,【3】誤答：定義と混同する、または主体・期限・数値の読み落とし。混同しやすい近義語を比較表の左右に整理する。誤答肢は色分けして復習する。 試験要項の最新版も確認。 観点C：誤答一語差を整理。 補足3-0。,議事録のあとに見ておきたい用語は？,【4】比較：「集会」と「議決権」を compare で整理する。numbersページで数値条件を一覧化して確認する。関連ハブページも参照する。 試験要項の最新版も確認。 観点D：compare表を作成。
議決権,法令・制度,区分所有法;管理組合運営,集会で賛否を示す投票力。原則は床面積比配分で、規約により1住戸1票等に変更可能。,区分所有者が集会で議案に賛否を表明できる権利です。原則として共用部分の共有持分の割合に応じて配分され、規約で別段の定めをすれば住戸ごとに同数とすることもできます。,集会;普通決議;特別多数決議;区分所有者,区分所有法第38条、第39条,A,議決権は、集会の決議要件を計算する基礎になります。区分所有法は「区分所有者と議決権」を要件にする条文が多く、人数と議決権数の2軸で過半数や4分の3を判定する仕組みが頻繁に問われます。,議決権とは？集会で意思を示す権利,議決権は、集会で意見を示すための投票権です。人数と議決権数の2軸で決議をチェックする独特の数え方が、試験の頻出論点になります。,"議決権は、区分所有者が集会で議案に賛否を示す権利で、原則として共用部分の共有持分の割合で配分されます。共有持分は通常、専有部分の床面積割合で決まるため、広い住戸の所有者ほど議決権数が大きくなります。

標準管理規約は、議決権割合を専有部分の床面積比に基づいて設定するモデルを示しています。ただし、規約で別段の定めをすれば、住戸数を基準に1住戸1議決権とすることや、独自の議決権割合を採用することも可能です。区分所有法上の決議要件は「区分所有者と議決権の各○分の○」と二重に求められるため、人数と議決権数の両方で要件を満たす必要があります。",原則は共有持分（床面積割合）で配分;規約で住戸単位など別段の定めが可能;決議は「区分所有者及び議決権」の二重要件,議決権が常に1住戸1票だと考える誤答が出ます。原則は床面積比で、規約で1住戸1票に変えられる仕組みです。,「議決権は床面積、規約で住戸数に切替可、決議は人数と議決権の両方で過半数」と3段で覚えます。,議決権は、規約に別段の定めがない限り、共用部分の共有持分の割合による。,○。区分所有法第38条のとおりです。,議決権はどう配分されるのですか？,【1】定義：議決権は集会で賛否を示す投票力。原則は床面積比配分で、規約により1住戸1票等に変更可能。根拠は区分所有法第38条、第39条。試験要項の条文番号をメモに書き出して確認する。弱点論点は比較表で補強する。,議決権はどう行使しますか？,【2】出題：原則は共有持分（床面積割合）で配分。過去問1問の正答理由をノートに記録して復習する。正答後は関連条文を開く。 試験要項の最新版も確認。 観点B：過去問形式を記録。 補足2-0。 補足2-1。,議決権の「二重要件」とは何ですか？,【3】誤答：定義と混同する、または主体・期限・数値の読み落とし。混同しやすい近義語を比較表の左右に整理する。誤答肢は色分けして復習する。 試験要項の最新版も確認。 観点C：誤答一語差を整理。 補足3-0。,議決権を学んだあとに読む用語は？,【4】比較：「集会」と「普通決議」を compare で整理する。numbersページで数値条件を一覧化して確認する。関連ハブページも参照する。 試験要項の最新版も確認。 観点D：compare表を作成。
集会,法令・制度,区分所有法;管理組合運営,区分所有者が規約・予算・役員等を決議する会議（総会）。年1回以上の開催が義務付けられる。,区分所有者が一堂に会して、規約の設定・変更や管理に関する事項を決議する会議です。標準管理規約では「総会」と呼ばれ、通常総会と臨時総会の2種類があります。,議決権;普通決議;特別多数決議;招集通知,区分所有法第34条〜第41条,A,集会は、区分所有者の意思決定が成立する場面で、招集手続・議決方法・議事録のすべてが選択肢で問われます。最低限、毎年1回開催の義務、招集通知の発出時期、議決要件の数字を押さえてください。,集会（総会）とは？意思決定の基本ルール,集会は、マンションの大切なことを決める会議で、標準管理規約では総会と呼ばれます。毎年1回の開催と、招集・議決・議事録の3手続が試験の中心テーマです。,"集会は、区分所有者が一堂に会して規約や管理について決議する会議です。区分所有法第34条は、管理者が少なくとも毎年1回は集会を招集すると定めるため、年1回の通常総会の開催が義務です。必要に応じて臨時総会を招集することもできます。

集会の決議は、原則として区分所有者と議決権の各過半数で成立する普通決議です。規約の設定・変更・廃止や共用部分の重大変更、建替え決議などは特別多数決議が必要で、4分の3以上または5分の4以上が要件になります。決議事項は招集通知に書いた事項に限られる、議事録は議長と区分所有者2人が署名する、といった手続論点も頻出です。",少なくとも毎年1回の集会開催義務;普通決議と特別多数決議の使い分け;招集通知に書いた事項のみ決議可能,招集通知に書いていない議題でも、集会で決議できると勘違いする誤答が出ます。原則として通知された事項に限定されます。,「集会＝年1回必須、議題は通知範囲、決議は数字で見分け」と3つの軸で整理します。,集会では、招集通知に記載されていない事項についても、出席者全員の賛成があれば決議できる。,×。原則として通知された事項に限られます（一部例外あり）。,集会と総会は同じものですか？,【1】定義：集会は区分所有者が規約・予算・役員等を決議する会議（総会）。年1回以上の開催が義務付けられる。根拠は区分所有法第34条〜第41条。試験要項の条文番号をメモに書き出して確認する。弱点論点は比較表で補強する。,集会の招集はいつまでに行いますか？,【2】出題：四択では要件・効果・主体を分離する。過去問1問の正答理由をノートに記録して復習する。正答後は関連条文を開く。 試験要項の最新版も確認。 観点B：過去問形式を記録。 補足2-0。 補足2-1。,集会で決められないことはありますか？,【3】誤答：定義と混同する、または主体・期限・数値の読み落とし。混同しやすい近義語を比較表の左右に整理する。誤答肢は色分けして復習する。 試験要項の最新版も確認。 観点C：誤答一語差を整理。 補足3-0。,集会のあとに見ておきたい用語は？,【4】比較：「議決権」と「普通決議」を compare で整理する。numbersページで数値条件を一覧化して確認する。関連ハブページも参照する。 試験要項の最新版も確認。 観点D：compare表を作成。
集会の招集,法令・制度,区分所有法;管理組合運営,管理者の年1回義務と、5分の1以上による臨時招集請求。通知期限は議題（建替えは2か月前）で変わる。,集会は管理者が少なくとも毎年1回招集する義務があり、5分の1以上の区分所有者と議決権を有する者からの請求で臨時集会の招集を求められます。会日の1週間前までの招集通知が原則です。,招集通知;集会;議決権;管理組合,区分所有法第34条、第35条,A,集会の招集は、管理者の年1回義務、5分の1以上の少数請求、招集通知1週間前、議案の要領の添付など、手続の数字が選択肢で連続して問われます。建替え決議の特別な通知期間（2か月前）も併せて覚えます。,集会の招集とは？年1回義務と少数請求のルール,集会の招集は、管理者の年1回義務と少数派からの請求権という2つの仕組みで動きます。通知の発出時期や議案要領の添付が試験では何度も問われる定番論点です。,"集会の招集は、区分所有法第34条が定めるルールに従います。管理者は少なくとも毎年1回は集会を招集する義務を負い、これが通常総会の根拠です。また、区分所有者の5分の1以上で議決権の5分の1以上を有する者からの請求があれば、管理者は臨時集会を招集する必要があります。規約でこの5分の1要件を緩和できます。

招集通知は、原則として会日の少なくとも1週間前に各区分所有者宛てに発します（区分所有法第35条）。規約で短縮・延長が可能で、建替え決議のような特別な議題は2か月前の通知と議案の要領の添付が義務です。通知漏れがあると、その人が出席して異議を述べない場合を除き、決議に瑕疵が生じます。",管理者は毎年1回の招集義務;5分の1以上の請求で臨時集会の招集;招集通知は会日の1週間前まで、建替え決議は2か月前,少数請求の要件を「過半数」と勘違いする誤答が出ます。原則は区分所有者と議決権の5分の1以上の請求です。,「年1回・5分の1請求・1週間前」と3つの数字をセットで言えるようにすると安心です。,区分所有者の5分の1以上で議決権の5分の1以上を有する者は、管理者に対して集会の招集を請求できる。,○。区分所有法第34条第3項のとおりです。,集会は誰が招集できますか？,【1】定義：集会の招集は管理者の年1回義務と、5分の1以上による臨時招集請求。通知期限は議題（建替えは2か月前）で…。根拠は区分所有法第34条、第35条。試験要項の条文番号をメモに書き出して確認する。,招集通知はいつまでに発しますか？,【2】出題：管理者は毎年1回の招集義務。過去問1問の正答理由をノートに記録して復習する。正答後は関連条文を開く。 試験要項の最新版も確認。 観点B：過去問形式を記録。 補足2-0。 補足2-1。 補足2-2。,通知漏れがあった場合の集会はどうなりますか？,【3】誤答：少数請求の要件を「過半数」と勘違いする誤答が出ます。混同しやすい近義語を比較表の左右に整理する。誤答肢は色分けして復習する。 試験要項の最新版も確認。 観点C：誤答一語差を整理。 補足3-0。,集会の招集を理解したら次は何を見ますか？,【4】比較：「招集通知」と「集会」を compare で整理する。numbersページで数値条件を一覧化して確認する。関連ハブページも参照する。 試験要項の最新版も確認。 観点D：compare表を作成。
