question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point
28,single,民法,正解選択;民法,代理に関する次の記述のうち、民法の定めによれば、内容が正確なものはどれか。,,,,,,代理人が本人のためにすることを示さずに意思表示をした場合、その効果は常に本人に帰属する。,代理権を有しない者がした契約は、本人が追認しても効力を生じることはない。,代理人がその権限内において本人のためにすることを示してした意思表示は、本人に対して直接にその効力を生ずる。,代理人は、どのような場合でも復代理人を選任することができない。,3,正解は3。選択肢1（誤り）　代理人が本人のためにすることを示さないでした意思表示は、原則として自己のためにしたものとみなされる（民法第100条本文）。常に本人に帰属するわけではない。選択肢2（誤り）　無権代理行為は、本人が追認すれば、原則として契約の時にさかのぼって効力を生じる（同法第116条）。選択肢3（正しい）　代理人が権限内で本人のためにすることを示してした意思表示は、本人に直接効力を生じる（同法第99条第1項）。本肢の記述は正当である。選択肢4（誤り）　復代理人の選任が認められる場合がある。どのような場合でも選任できないわけではない。,選択肢3（正しい）　代理人が権限内で本人のためにすることを示してした意思表示は、本人に直接効力を生じる（同法第99条第1項）。,選択肢3（正しい）　代理人が権限内で本人のためにすることを示してした意思表示は、本人に直接効力を生じる（同法第99条第1項）。,1:選択肢1（誤り）　代理人が本人のためにすることを示さないでした意思表示は、原則として自己のためにしたものとみなされる（民法第100条本文）。;2:選択肢2（誤り）　無権代理行為は、本人が追認すれば、原則として契約の時にさかのぼって効力を生じる（同法第116条）。;4:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（4）「代理人は、どのような場合でも復代理人を選任することができない。」は本問の正答（3）とは異なるため不適です。,
29,single,民法,誤り選択;民法,抵当権に関する次の記述のうち、民法の定めによれば、誤っているものはどれか。,,,,,,抵当権者は、債務者又は第三者が占有を移転しないで債務の担保に供した不動産について、他の債権者に先立って自己の債権の弁済を受けることができる。,抵当権は、目的不動産の売却代金から優先弁済を受ける担保物権である。,抵当権は、被担保債権に従たる性質を有する。,抵当権が設定された不動産は、抵当権者が常に直接占有しなければならない。,4,正解は4。選択肢1（正しい）　抵当権は、債務者又は第三者が占有を移転しないで担保に供した不動産について、他の債権者に先立って弁済を受ける権利である（民法第369条第1項）。本肢の記述は正当である。選択肢2（正しい）　抵当権は、目的不動産の換価代金から優先弁済を受ける担保物権である。本肢の記述は正当である。選択肢3（正しい）　抵当権は被担保債権を担保する権利であり、債権に従たる性質を有する。本肢の記述は正当である。選択肢4（誤り）　抵当権は、目的物の占有を移転しない担保物権である。抵当権者が常に直接占有する必要はない。,正解は4。選択肢1（正しい）　抵当権は、債務者又は第三者が占有を移転しないで担保に供した不動産について、他の債権者に先立って弁済を受ける権利である（民法第369条第1項）。本肢の記述は正当である。選択肢2（正しい）　抵当権は、目的不動産の換価代金から優先弁済を受ける担保物権である。本肢の記述は正当である。選択肢3（正しい）　抵当権は被担保債権を担保する権利で,選択肢4（誤り）　抵当権は、目的物の占有を移転しない担保物権である。,1:選択肢1（正しい）　抵当権は、債務者又は第三者が占有を移転しないで担保に供した不動産について、他の債権者に先立って弁済を受ける権利である（民法第369条第1項）。;2:（2）「抵当権は、目的不動産の売却代金から優先弁済を受ける担保物権である。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（4）「抵当権が設定された不動産は、抵当権者が常に直接占有しなければならない。」です。問題文の条件（抵当権に関する次の記述のうち、民法の定めによれば、誤っているものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）「抵当権は、被担保債権に従たる性質を有する。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（4）「抵当権が設定された不動産は、抵当権者が常に直接占有しなければならない。」です。問題文の条件（抵当権に関する次の記述のうち、民法の定めによれば、誤っているものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。,
30,single,民法,誤り選択;民法,相続に関する次の記述のうち、民法の定めによれば、内容が正確でないものはどれか。,,,,,,相続は、死亡によって開始する。,相続人が数人あるときは、相続財産は遺産分割が終了するまで、常に各相続人の単独所有となる。,相続人は、自己のために相続の開始があったことを知った時から一定期間内に、相続の承認又は放棄をしなければならない。,遺産分割により、相続財産の帰属を具体的に定めることができる。,2,正解は2。選択肢1（正しい）　相続は死亡によって開始する（民法第882条）。本肢の記述は正当である。選択肢2（誤り）　相続人が数人あるときは、相続財産は共同相続人の共有に属する（同法第898条）。各相続人の単独所有となるわけではない。選択肢3（正しい）　相続人は、自己のために相続の開始があったことを知った時から原則として3か月以内に、単純承認、限定承認又は放棄をしなければならない。本肢の記述は正当である。選択肢4（正しい）　遺産分割により、相続財産の具体的帰属を定めることができる。本肢の記述は正当である。,選択肢2（誤り）　相続人が数人あるときは、相続財産は共同相続人の共有に属する（同法第898条）。,選択肢2（誤り）　相続人が数人あるときは、相続財産は共同相続人の共有に属する（同法第898条）。,1:（1）「相続は、死亡によって開始する。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「相続人が数人あるときは、相続財産は遺産分割が終了するまで、常に各相続人の単独所有となる。」です。問題文の条件（相続に関する次の記述のうち、民法の定めによれば、内容が正確でないものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）「相続人は、自己のために相続の開始があったことを知った時から一定期間内に、相続の承認又は放棄をしなければならない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「相続人が数人あるときは、相続財産は遺産分割が終了するまで、常に各相続人の単独所有となる。」です。問題文の条件（相続に関する次の記述のうち、民法の定めによれば、内容が正確でないものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）の内容は、正答（2）「相続人が数人あるときは、相続財産は遺産分割が終了するまで、常に各相続人の単独所有となる。」が示す論点とずれています。,
31,single,マンション管理適正化法,正解選択;マンション管理適正化法;5問免除,マンション管理業者の重要事項説明に関する次の記述のうち、マンション管理適正化法の定めによれば、内容が正確なものはどれか。,,,,,,管理受託契約を締結する際、重要事項説明は不要であり、契約書だけを交付すれば足りる。,重要事項説明は、管理業務主任者でない従業員が、管理業務主任者証を提示せずに行えば足りる。,管理組合の管理者等が重要事項説明を不要と申し出れば、法律上常に説明義務は消滅する。,マンション管理業者は、管理受託契約を締結しようとするときは、一定の場合に管理業務主任者をして重要事項を説明させなければならない。,4,正解は4。選択肢1（誤り）　管理受託契約の締結に際しては、法令に基づく重要事項説明が問題となる。契約書だけを交付すれば常に足りるわけではない。選択肢2（誤り）　重要事項説明は、管理業務主任者が管理業務主任者証を提示して行う必要がある場合がある。管理業務主任者でない者が自由に行えるわけではない。選択肢3（誤り）　説明義務は法令上の制度であり、管理者等の申出により常に消滅するわけではない。選択肢4（正しい）　マンション管理業者は、管理受託契約を締結しようとするときは、法定の手続に従い、管理業務主任者をして重要事項を説明させなければならない場合がある。本肢の記述は正当である。,正解は4。選択肢1（誤り）　管理受託契約の締結に際しては、法令に基づく重要事項説明が問題となる。契約書だけを交付すれば常に足りるわけではない。選択肢2（誤り）　重要事項説明は、管理業務主任者が管理業務主任者証を提示して行う必要がある場合がある。管理業務主任者でない者が自由に行えるわけではない。選択肢3（誤り）　説明義務は法令上の制度であり、管理者等の申出によ,選択肢4（正しい）　マンション管理業者は、管理受託契約を締結しようとするときは、法定の手続に従い、管理業務主任者をして重要事項を説明させなければならない場合がある。,1:選択肢1（誤り） 管理受託契約の締結に際しては、法令に基づく重要事項説明が問題となる。;2:選択肢2（誤り） 重要事項説明は、管理業務主任者が管理業務主任者証を提示して行う必要がある場合がある。;3:選択肢3（誤り） 説明義務は法令上の制度であり、管理者等の申出により常に消滅するわけではない。,
32,single,マンション管理適正化法,誤り選択;マンション管理適正化法;5問免除,マンション管理業者の財産の分別管理に関する次の記述のうち、マンション管理適正化法の考え方によれば、誤っているものはどれか。,,,,,,マンション管理業者は、管理組合から受領した管理費等を、自己の固有財産と常に自由に混同して管理することができる。,管理組合の財産を適切に保全するため、管理業者には分別管理に関する規制が設けられている。,収納口座、保管口座などの管理方法は、管理組合の資金保全に関係する重要な事項である。,財産の分別管理に関するルールは、管理組合の資金が管理業者の倒産等の影響を受けるリスクを小さくする目的を有する。,1,正解は1。選択肢1（誤り）　マンション管理業者は、管理組合から受領した財産を自己の固有財産と自由に混同して管理できるわけではない。分別管理に関する規制が設けられている。選択肢2（正しい）　管理組合の財産保全のため、管理業者には分別管理に関するルールが課される。本肢の記述は正当である。選択肢3（正しい）　収納口座や保管口座などの管理方法は、管理組合の資金保全に関係する重要事項である。本肢の記述は正当である。選択肢4（正しい）　分別管理のルールは、管理業者の倒産等により管理組合の資金が影響を受けるリスクを小さくする目的を有する。本肢の記述は正当である。,選択肢1（誤り）　マンション管理業者は、管理組合から受領した財産を自己の固有財産と自由に混同して管理できるわけではない。,選択肢1（誤り）　マンション管理業者は、管理組合から受領した財産を自己の固有財産と自由に混同して管理できるわけではない。,2:（2）「管理組合の財産を適切に保全するため、管理業者には分別管理に関する規制が設けられている。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「マンション管理業者は、管理組合から受領した管理費等を、自己の固有財産と常に自由に混同して管理することができる。」です。問題文の条件（マンション管理業者の財産の分別管理に関する次の記述のうち、マンション管理適正化法の考え方によれば…）と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）「収納口座、保管口座などの管理方法は、管理組合の資金保全に関係する重要な事項である。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「マンション管理業者は、管理組合から受領した管理費等を、自己の固有財産と常に自由に混同して管理することができる。」です。問題文の条件（マンション管理業者の財産の分別管理に関する次の記述のうち、マンション管理適正化法の考え方によれば…）と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）「財産の分別管理に関するルールは、管理組合の資金が管理業者の倒産等の影響を受けるリスクを小さくする目的を有する。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「マンション管理業者は、管理組合から受領した管理費等を、自己の固有財産と常に自由に混同して管理することができる。」です。問題文の条件（マンション管理業者の財産の分別管理に関する次の記述のうち、マンション管理適正化法の考え方によれば…）と照らし、設問が問う論点に合う肢を選び直してください。,
33,single,標準管理委託契約書,誤り選択;標準管理委託契約書;マンション管理適正化法,管理委託契約における管理事務の報告に関する次の記述のうち、内容が正確でないものはどれか。,,,,,,管理業者は、管理組合から委託された事務の処理状況について、契約及び法令に従って報告を行う必要がある。,管理事務の報告は、管理組合の運営に関係しないため、契約期間中一度も行う必要がない。,管理事務報告は、収支状況や業務の実施状況を管理組合が把握するために重要である。,管理業務主任者が管理事務報告に関与する制度は、管理組合への説明の適正を確保する趣旨を有する。,2,正解は2。選択肢1（正しい）　管理業者は、委託された事務の処理状況について、契約及び法令に従って報告を行う必要がある。本肢の記述は正当である。選択肢2（誤り）　管理事務の報告は、管理組合の運営に密接に関係する。契約期間中一度も報告不要というわけではない。選択肢3（正しい）　管理事務報告は、収支状況や業務実施状況を管理組合が把握し、管理業者の業務を確認するために重要である。本肢の記述は正当である。選択肢4（正しい）　管理業務主任者が管理事務報告に関与する制度は、説明の適正を確保する趣旨を有する。本肢の記述は正当である。,選択肢2（誤り）　管理事務の報告は、管理組合の運営に密接に関係する。,選択肢2（誤り）　管理事務の報告は、管理組合の運営に密接に関係する。,1:（1）「管理業者は、管理組合から委託された事務の処理状況について、契約及び法令に従って報告を行う必要がある。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「管理事務の報告は、管理組合の運営に関係しないため、契約期間中一度も行う必要がない。」です。問題文の条件（管理委託契約における管理事務の報告に関する次の記述のうち、内容が正確でないものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）「管理事務報告は、収支状況や業務の実施状況を管理組合が把握するために重要である。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「管理事務の報告は、管理組合の運営に関係しないため、契約期間中一度も行う必要がない。」です。問題文の条件（管理委託契約における管理事務の報告に関する次の記述のうち、内容が正確でないものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）「管理業務主任者が管理事務報告に関与する制度は、管理組合への説明の適正を確保する趣旨を有する。,
34,single,会計,正解選択;会計;標準管理規約（単棟型）,管理組合の予算及び決算に関する次の記述のうち、内容が正確なものはどれか。,,,,,,収支予算案及び事業計画案は、総会で承認を受けることにより、管理組合の年度運営の基礎となる。,決算では、収入と支出を確認する必要はなく、理事長の口頭報告のみで常に足りる。,予算で定めた支出項目は、実際の必要性にかかわらず、必ず全額を支出しなければならない。,管理組合の会計資料は、組合員が管理状況を確認するための資料とはならない。,1,正解は1。選択肢1（正しい）　収支予算案及び事業計画案は、総会で承認を受け、管理組合の年度運営の基礎となる。本肢の記述は正当である。選択肢2（誤り）　決算では、収入・支出や財産状況を資料により明らかにし、監査や総会承認を経ることが重要である。口頭報告のみで常に足りるわけではない。選択肢3（誤り）　予算は支出の上限や計画を示すものであり、不要な支出まで必ず全額執行しなければならないわけではない。選択肢4（誤り）　会計資料は、組合員が管理組合の財務状況や管理状況を確認するための重要な資料である。,選択肢1（正しい）　収支予算案及び事業計画案は、総会で承認を受け、管理組合の年度運営の基礎となる。,選択肢1（正しい）　収支予算案及び事業計画案は、総会で承認を受け、管理組合の年度運営の基礎となる。,2:選択肢2（誤り） 決算では、収入・支出や財産状況を資料により明らかにし、監査や総会承認を経ることが重要である。;3:選択肢3（誤り） 予算は支出の上限や計画を示すものであり、不要な支出まで必ず全額執行しなければならないわけではない。;4:選択肢4（誤り） 会計資料は、組合員が管理組合の財務状況や管理状況を確認するための重要な資料である。,
35,single,建築基準法,正解選択;建築基準法,建築基準法上の避難施設等に関する次の記述のうち、内容が正確なものはどれか。,,,,,,共同住宅では、避難に関する規制は一切適用されない。,建築物の用途、規模、階数等に応じて、廊下、階段、出入口等の避難施設に関する規制が設けられることがある。,避難階段は、火災時の避難とは無関係であり、専ら日常清掃のために設置される。,建築基準法は、避難施設について地方公共団体が一切基準を定めることを禁止している。,2,正解は2。選択肢1（誤り）　共同住宅にも、用途、規模、階数等に応じて避難施設等に関する規制が適用されることがある。一切適用されないわけではない。選択肢2（正しい）　建築物の用途、規模、階数等に応じて、廊下、階段、出入口等の避難施設に関する規制が設けられている。本肢の記述は正当である。選択肢3（誤り）　避難階段は、火災時等の安全な避難に関係する施設である。日常清掃のためだけに設置されるものではない。選択肢4（誤り）　建築基準法は最低基準を定めるものであり、地方公共団体が条例により一定の付加的規制を設ける場合がある。,選択肢2（正しい）　建築物の用途、規模、階数等に応じて、廊下、階段、出入口等の避難施設に関する規制が設けられている。,選択肢2（正しい）　建築物の用途、規模、階数等に応じて、廊下、階段、出入口等の避難施設に関する規制が設けられている。,1:選択肢1（誤り） 共同住宅にも、用途、規模、階数等に応じて避難施設等に関する規制が適用されることがある。;3:（3）の内容は、正答（2）「建築物の用途、規模、階数等に応じて、廊下、階段、出入口等の避難施設に関する規制が設けられることがある。」が示す論点とずれています。;4:選択肢4（誤り） 建築基準法は最低基準を定めるものであり、地方公共団体が条例により一定の付加的規制を設ける場合がある。,
36,single,マンション建替え等円滑化法,誤り選択;マンション建替え等円滑化法,マンション建替え等円滑化法に関する次の記述のうち、内容が正確でないものはどれか。,,,,,,マンション建替組合は、建替え事業を円滑に進めるための法人である。,建替え事業では、権利変換計画など、区分所有者等の権利調整に関する手続が問題となる。,マンション建替え等円滑化法は、老朽化マンションの建替えには一切関係せず、戸建住宅だけを対象とする法律である。,耐震性不足のマンション等については、除却や敷地売却に関する制度が問題となる場合がある。,3,正解は3。選択肢1（正しい）　マンション建替組合は、マンション建替事業を実施するための法人であり、事業を円滑に進める役割を有する。本肢の記述は正当である。選択肢2（正しい）　建替え事業では、権利変換計画などにより、従前の権利を新たな建物の権利へ移行させる手続が問題となる。本肢の記述は正当である。選択肢3（誤り）　マンション建替え等円滑化法は、マンションの建替え等を円滑に進めるための法律であり、戸建住宅だけを対象とするものではない。選択肢4（正しい）　耐震性不足等のマンションでは、除却や敷地売却に関する制度が問題となる場合がある。本肢の記述は正当である。,正解は3。選択肢1（正しい）　マンション建替組合は、マンション建替事業を実施するための法人であり、事業を円滑に進める役割を有する。本肢の記述は正当である。選択肢2（正しい）　建替え事業では、権利変換計画などにより、従前の権利を新たな建物の権利へ移行させる手続が問題となる。本肢の記述は正当である。選択肢3（誤り）　マンション建替え等円滑化法は、マンションの建替,選択肢3（誤り）　マンション建替え等円滑化法は、マンションの建替え等を円滑に進めるための法律であり、戸建住宅だけを対象とするものではない。,1:（1）「マンション建替組合は、建替え事業を円滑に進めるための法人である。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「マンション建替え等円滑化法は、老朽化マンションの建替えには一切関係せず、戸建住宅だけを対象とする法律である。」です。問題文の条件（マンション建替え等円滑化法に関する次の記述のうち、内容が正確でないものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;2:（2）「建替え事業では、権利変換計画など、区分所有者等の権利調整に関する手続が問題となる。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「マンション建替え等円滑化法は、老朽化マンションの建替えには一切関係せず、戸建住宅だけを対象とする法律である。」です。問題文の条件（マンション建替え等円滑化法に関する次の記述のうち、内容が正確でないものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）「耐震性不足のマンション等については、除却や敷地売却に関する制度が問題となる場合がある。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「マンション建替え等円滑化法は、老朽化マンションの建替えには一切関係せず、戸建住宅だけを対象とする法律である。」です。問題文の条件（マンション建替え等円滑化法に関する次の記述のうち、内容が正確でないものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。,
37,single,長期修繕計画,正解選択;長期修繕計画,長期修繕計画に関する次の記述のうち、内容が正確なものはどれか。,,,,,,長期修繕計画は、新築時に一度作成すれば、その後は建物の劣化状況や工事費の変動にかかわらず見直す必要がない。,長期修繕計画は、管理費の日常的支出だけを対象とし、修繕積立金の額の検討には関係しない。,長期修繕計画では、将来の修繕工事の時期や概算費用を検討しない。,長期修繕計画は、将来見込まれる修繕工事の内容、時期、概算費用等を整理し、修繕積立金の検討にも活用される。,4,正解は4。選択肢1（誤り）　長期修繕計画は、建物の劣化状況、工事費の変動、法令・技術の変化等に応じて定期的に見直すことが重要である。選択肢2（誤り）　長期修繕計画は、計画修繕の内容や費用を見込み、修繕積立金の額の検討に活用される。日常支出だけを対象とするものではない。選択肢3（誤り）　長期修繕計画では、将来の修繕工事の時期や概算費用を検討する。選択肢4（正しい）　長期修繕計画は、将来見込まれる修繕工事の内容、時期、概算費用等を整理し、修繕積立金の水準検討にも活用される。本肢の記述は正当である。,選択肢4（正しい）　長期修繕計画は、将来見込まれる修繕工事の内容、時期、概算費用等を整理し、修繕積立金の水準検討にも活用される。,選択肢4（正しい）　長期修繕計画は、将来見込まれる修繕工事の内容、時期、概算費用等を整理し、修繕積立金の水準検討にも活用される。,1:選択肢1（誤り） 長期修繕計画は、建物の劣化状況、工事費の変動、法令・技術の変化等に応じて定期的に見直すことが重要である。;2:選択肢2（誤り） 長期修繕計画は、計画修繕の内容や費用を見込み、修繕積立金の額の検討に活用される。;3:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（3）「長期修繕計画では、将来の修繕工事の時期や概算費用を検討しない。」は本問の正答（4）とは異なるため不適です。,
38,single,長期修繕計画,誤り選択;長期修繕計画;建物・設備,大規模修繕工事に関する次の記述のうち、内容が正確でないものはどれか。,,,,,,大規模修繕工事では、建物診断や劣化調査の結果を踏まえて工事項目を検討することが重要である。,大規模修繕工事は、必ずすべての住戸内装を全面的に改装する工事であり、共用部分の修繕とは無関係である。,工事の実施にあたっては、施工会社の選定、工事監理、居住者への周知などが重要となる。,外壁補修、防水改修、鉄部塗装などは、大規模修繕工事の対象となることがある。,2,正解は2。選択肢1（正しい）　大規模修繕工事では、建物診断や劣化調査により劣化状況を把握し、必要な工事項目を検討することが重要である。本肢の記述は正当である。選択肢2（誤り）　大規模修繕工事は、主に共用部分の計画的な修繕を対象とする。すべての住戸内装を全面改装する工事であり共用部分と無関係とする本肢は誤っている。選択肢3（正しい）　施工会社の選定、工事監理、居住者への周知などは、大規模修繕工事を適切に進めるうえで重要である。本肢の記述は正当である。選択肢4（正しい）　外壁補修、防水改修、鉄部塗装などは、大規模修繕工事の対象となることがある。本肢の記述は正当である。,選択肢2（誤り）　大規模修繕工事は、主に共用部分の計画的な修繕を対象とする。,選択肢2（誤り）　大規模修繕工事は、主に共用部分の計画的な修繕を対象とする。,1:（1）「大規模修繕工事では、建物診断や劣化調査の結果を踏まえて工事項目を検討することが重要である。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「大規模修繕工事は、必ずすべての住戸内装を全面的に改装する工事であり、共用部分の修繕とは無関係である。」です。問題文の条件（大規模修繕工事に関する次の記述のうち、内容が正確でないものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）「工事の実施にあたっては、施工会社の選定、工事監理、居住者への周知などが重要となる。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「大規模修繕工事は、必ずすべての住戸内装を全面的に改装する工事であり、共用部分の修繕とは無関係である。」です。問題文の条件（大規模修繕工事に関する次の記述のうち、内容が正確でないものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）「外壁補修、防水改修、鉄部塗装などは、大規模修繕工事の対象となることがある。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「大規模修繕工事は、必ずすべての住戸内装を全面的に改装する工事であり、共用部分の修繕とは無関係である。」です。問題文の条件（大規模修繕工事に関する次の記述のうち、内容が正確でないものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。,
39,single,建物・設備,正解選択;建物・設備,マンションの排水設備に関する次の記述のうち、内容が正確なものはどれか。,,,,,,排水管の詰まりや腐食は、漏水、悪臭、排水不良などの原因となることがある。,排水管は、建物内に設置されていても劣化することがなく、清掃や点検は一切不要である。,通気管は、排水設備とは無関係であり、給水ポンプを冷却するためだけに設置される。,雑排水管は、雨水だけを排水するための管であり、台所や浴室の排水とは関係しない。,1,正解は1。選択肢1（正しい）　排水管の詰まりや腐食は、漏水、悪臭、排水不良などの原因となることがある。本肢の記述は正当である。選択肢2（誤り）　排水管も経年により劣化し、詰まり等が生じることがあるため、清掃や点検が重要である。一切不要ではない。選択肢3（誤り）　通気管は、排水時の管内圧力を調整し、封水の破壊を防ぐなど排水設備に関係する。給水ポンプ冷却のためだけの設備ではない。選択肢4（誤り）　雑排水管は、台所、浴室、洗面所等からの排水に関係する。雨水だけを排水する管ではない。,選択肢1（正しい）　排水管の詰まりや腐食は、漏水、悪臭、排水不良などの原因となることがある。,選択肢1（正しい）　排水管の詰まりや腐食は、漏水、悪臭、排水不良などの原因となることがある。,2:選択肢2（誤り） 排水管も経年により劣化し、詰まり等が生じることがあるため、清掃や点検が重要である。;3:選択肢3（誤り） 通気管は、排水時の管内圧力を調整し、封水の破壊を防ぐなど排水設備に関係する。;4:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（4）「雑排水管は、雨水だけを排水するための管であり、台所や浴室の排水とは関係しない。」は本問の正答（1）とは異なるため不適です。,設備・維持保全は数値基準・点検周期・責任の所在がセットで出題されます。表や比較で整理し、他選択肢がどの要件（数値・主体・手続）とずれているかを確認してください。
40,single,建築基準法,誤り選択;建築基準法;建物・設備,エレベーター設備に関する次の記述のうち、建築基準法及び一般的な維持管理の考え方によれば、誤っているものはどれか。,,,,,,エレベーターは、安全に利用できるよう、定期的な点検や保守が重要である。,建築基準法上、昇降機については定期検査報告制度の対象となる場合がある。,地震時管制運転装置や停電時自動着床装置などは、安全性や閉じ込め防止に関係する設備である。,エレベーターは機械設備ではないため、設置後は摩耗や劣化が生じることはなく、保守契約を検討する必要もない。,4,正解は4。選択肢1（正しい）　エレベーターは多くの利用者が使用する設備であり、安全確保のため定期的な点検や保守が重要である。本肢の記述は正当である。選択肢2（正しい）　昇降機は、建築基準法上の定期検査報告制度の対象となる場合がある。本肢の記述は正当である。選択肢3（正しい）　地震時管制運転装置や停電時自動着床装置などは、地震・停電時の安全性や閉じ込め防止に関係する。本肢の記述は正当である。選択肢4（誤り）　エレベーターは機械設備であり、摩耗や劣化が生じるため、適切な保守管理が必要である。保守契約を検討する必要がないとする本肢は誤っている。,正解は4。選択肢1（正しい）　エレベーターは多くの利用者が使用する設備であり、安全確保のため定期的な点検や保守が重要である。本肢の記述は正当である。選択肢2（正しい）　昇降機は、建築基準法上の定期検査報告制度の対象となる場合がある。本肢の記述は正当である。選択肢3（正しい）　地震時管制運転装置や停電時自動着床装置などは、地震・停電時の安全性や閉じ込め防止に関,選択肢4（誤り）　エレベーターは機械設備であり、摩耗や劣化が生じるため、適切な保守管理が必要である。,1:（1）「エレベーターは、安全に利用できるよう、定期的な点検や保守が重要である。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（4）「エレベーターは機械設備ではないため、設置後は摩耗や劣化が生じることはなく、保守契約を検討する必要もない。」です。問題文の条件（エレベーター設備に関する次の記述のうち、建築基準法及び一般的な維持管理の考え方によれば、誤ってい…）と照らし、設問が問う論点に合う肢を選び直してください。;2:（2）「建築基準法上、昇降機については定期検査報告制度の対象となる場合がある。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（4）「エレベーターは機械設備ではないため、設置後は摩耗や劣化が生じることはなく、保守契約を検討する必要もない。」です。問題文の条件（エレベーター設備に関する次の記述のうち、建築基準法及び一般的な維持管理の考え方によれば、誤ってい…）と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）「地震時管制運転装置や停電時自動着床装置などは、安全性や閉じ込め防止に関係する設備である。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（4）「エレベーターは機械設備ではないため、設置後は摩耗や劣化が生じることはなく、保守契約を検討する必要もない。」です。問題文の条件（エレベーター設備に関する次の記述のうち、建築基準法及び一般的な維持管理の考え方によれば、誤ってい…）と照らし、設問が問う論点に合う肢を選び直してください。,
